category,generic_item,exact_name
Meat & Poultry,Whole Chicken,Macro Free Range Chicken Whole
Deli,Sliced Ham,WW Champagne Ham Sliced Prepacked
Produce,Banana,Banana Cavendish
Dairy Alternative,Soy Milk,Macro Organic Soy Milk 1L
Dairy,Milk,LRC Jersey Milk Non Homogenised 1.5L
Dairy,Yoghurt,De Winkel Plain Unsweet 1kg
Pantry,Olives,Sun Harvest Olives Pitted Black 450Gm
Pantry,Soup,Naked Kitchen Soup Rich Tomato 500g
Pantry,Ready Meal,Naked Kitchen Eat Wll CauliflwerDhl 450g
Dairy Alternative,Soy Cream,Alpro Soy Cream Regular 250ml
Canned Goods,Chilli Beans,Watties Mild Chilli Beans 420gm
Pantry,Jam,Barker's Jam Strawberry 455g
Meat & Poultry,Chicken (Ready-to-cook),Rangitikei Korean Style Chicken 400g
Pet Food,Dog Food,Butch White Label 2kg
Produce,Potato,Pukekohe Agria Straight Cut 1kg
Meat & Poultry,Sausages,Hellers Venison Sausage 6pk
Meat & Poultry,Sausages,WW Pork & Fennel Sausages 450g 6pk
Deli,Chorizo,Beehive Chorizo Sticks 150g
Produce,Potato,Potato Vivaldi Gold 2kg
Produce,Cabbage,Cabbage Green Half
Produce,Cauliflower,Cauliflower Whole
Produce,Avocado,Avocado Hass
Produce,Leek,Leek Ea
Cereals & Breakfast,Cereal,Hubbard Cluster Crispy Flakes Very Berry 475g
Cereals & Breakfast,Granola,Orchard Valley Almd Cashew Granola 300g
Cereals & Breakfast,Granola,Orchard Valley Rasp Crnbry Granola 300g
Condiments & Sauces,Curry Sauce,LKK Ready Sauce for Thai Green Curry 120g
Snacks,Protein Bars,N&N Protn Nut Bars Dark Choc Cacao 5Pk
Beverages,Tea,Dilmah Pure Ceylon Green 100s teabags
Pantry,Konjac Rice,Slendier Konjac Rice Style 400g
Snacks,Oaty Slice,M/earth Oaty Slice Anzac 240g
Beverages,Coffee Beans,Hummingbird H/Select Beans 200g
Household,Baking Paper,Armada Baking Paper 50m
Dairy,Eggs,Macro Free Range MixedGrade Eggs 12pk
Snacks,Corn Chips,Mexicano Corn Chips Tasty Salsa 300g
Bakery,Tacos,Farrahs Low Carb Ultra Keto Taco 8pk
Bakery,Pizza Base,Turkish Pizza Bases 450g
