category,generic_item,exact_name
Bakery,Bread,Bread
Bakery,Burger Buns,Buns
Bakery,Burger Buns (GF),Gf buns
Bakery,Keto Bread,Keto bread
Bakery,Pies,Victor pies
Bakery,Pizza Base,Bases
Bakery,Pizza Base (GF),Gf bases
Bakery,Pork Buns,Buns pork x 1
Bakery,Red Bean Buns,Buns red bean
Bakery,Tortillas (GF),Gf tortillas
Bakery,Wraps,Wraps
Bakery,Wraps,Wraps
Beverages,Beer,Beer
Beverages,Beer,Beer
Beverages,Coffee Bags,Coffee bags
Beverages,Coffee Beans,Coffee beans
Beverages,Wine,Red wine
Canned Goods,Anchovies,Anchovies
Canned Goods,Beans,Black beans or kidney beans
Canned Goods,Black Beans,Black beans
Canned Goods,Black Beans,Black beans 1/2 can
Canned Goods,Chickpeas,2 x chickpeas cans
Canned Goods,Chickpeas,Chickpeas 1/2 can
Canned Goods,Chickpeas,2 x chickpeas cans
Canned Goods,Chilli Beans,Chilli beans
Canned Goods,Tomatoes,Chopped tomatoes
Canned Goods,Tomatoes,Chopped tomatoes
Canned Goods,Tomatoes,5 × 400 g tins peeled plum tomatoes
Canned Goods,Tuna,Tuna
Canned Goods,Tuna,Big tuna
Cereals & Breakfast,Cereal,Kids cereal
Cereals & Breakfast,Granola,Granola
Condiments & Sauces,Mayonnaise,Mayo
Condiments & Sauces,Mayonnaise,Mayo
Confectionery,Chocolate,Dark chocolate
Dairy,Butter,50 g butter
Dairy,Cheese,Cheese x 2
Dairy,Cheese,Cheese
Dairy,Cheese,Cheese
Dairy,Cheese,Cheese
Dairy,Eggs,Eggs
Dairy,Milk,Milk x 4
Dairy,Milk,Dairy milk
Dairy,Milk,500 ml milk
Dairy,Yoghurt,"Yoghurt for dad, K, V"
Dairy Alternative,Soy Cream,Soy cream
Dairy Alternative,Whipped Cream,Soy whipped cream
Deli,Bacon,Bacon
Deli,Chorizo,Chorizo x 2
Deli,Ham or Chicken,Ham or shredded chicken
Deli,Hummus,Hummus
Deli,Hummus,Hummus x 2
Deli,Salami,Salami
Deli,Salami Sticks,Salami sticks
Frozen,Blueberries,Blueberries
Frozen,Chicken,1 pack chicken
Frozen,Chicken Pieces,Chicken pieces x 2
Frozen,Corn,Corn
Frozen,Corn,Frozen corn
Frozen,Corn,Corn
Frozen,Corn,Corn
Frozen,Corn,Corn
Frozen,Dumplings,Dumplings
Frozen,Edamame,Edamame
Frozen,Mango,Mango x 2
Frozen,Mango,Mango
Frozen,Peas,Peas
Frozen,Peas or Edamame,Peas or edamame
Frozen,Ready Meal,Ratatouille
Frozen,Strawberries,Strawberries
Frozen,Strawberries,Strawberries
Household,Aluminium Foil,Aluminum foil
Household,Baking Paper,Baking paper
Household,Bin Bags,Kitchen bags
Household,Dish Soap,Dish wash
Household,Facial Tissues,Tissues
Household,Paper Towels,Paper towel
Household,Stain Remover,Vanish oxy action spray
Household,Tape,Sellotape
Household,Tape,Packing tape
Household,Toilet Paper,Tp
Meat & Poultry,Chicken,Chicken drum sticks or whole chicken
Meat & Poultry,Lamb,Lamb for bbq
Meat & Poultry,Lamb Mince,"Lamb mince (shepherds pie, spaghetti bolognaise, chilli con carne"
